# Calibration scale conversion functions,,,,,,,
# If one scale is a function of the other use x (original scale) and y (new scale) as the independent and dependent variables respectively,,,,,,,
# If a conversion factor is time dependent use t as the dependent variable where t will be a decimalised date (e.g. 2010.5),,,,,,,
# Separate synonyms for scale using a pipe character |. The default name should appear first. Names are not case sensitive,,,,,,,
species,scale_x,scale_y,y=f(x),y=f(t),t_start,t_end,y=f(t)_else
ch4,CSIRO-94|CSIRO-1994|CSIRO94,TU-87|TU-1987|tokohu-87|tokohu-1987|TU87,1.0119*x,,,,
ch4,TU-87|TU-1987|tokohu-87|tokohu-1987|TU87,WMO-X2004A|NOAA-X2004A,1.002*x,,,,
cfc11,SIO-93|SIO-1993|SIO93,SIO-98|SIO-1998|SIO98,1.0082*x,,,,
cfc12,SIO-93|SIO-1993|SIO93,SIO-98|SIO-1998|SIO98,1.0053*x,,,,
cfc113,SIO-93|SIO-1993|SIO93,SIO-98|SIO-1998|SIO98,1.0038*x,,,,
ch3ccl3,SIO-93|SIO-1993|SIO93,SIO-98|SIO-1998|SIO98,1.0184*x,,,,
ccl4,SIO-93|SIO-1993|SIO93,SIO-98|SIO-1998|SIO98,1.009*x,,,,
cfc11,SIO-98|SIO-1998|SIO98,SIO-05|SIO-2005|SIO05,0.9945*x,,,,
cfc12,SIO-98|SIO-1998|SIO98,SIO-05|SIO-2005|SIO05,1*x,,,,
cfc113,SIO-98|SIO-1998|SIO98,SIO-05|SIO-2005|SIO05,1.0042*x,,,,
ch3ccl3,SIO-98|SIO-1998|SIO98,SIO-05|SIO-2005|SIO05,0.9957*x,,,,
ccl4,SIO-98|SIO-1998|SIO98,SIO-05|SIO-2005|SIO05,1*x,,,,
n2o,SIO-93|SIO-1993|SIO93,SIO-98|SIO-1998|SIO98,,-1.0058/(2.0742e-5*t**4 - 0.164988416365503*t**3 + 492.139076353223*t**2 - 652439.175571644*t + 324357376.070416),1984.3333,1990.2465,1.0058
n2o,SIO-98|SIO-1998|SIO98,SIO-05|SIO-2005|SIO05,1*x,,,,
n2o,WMO-X2006A|NOAA-X2006A,SIO-16|SIO-2016|SIO16,x+0.44,,,,
n2o,SIO-05|SIO-2005|SIO05,SIO-16|SIO-2016|SIO16,1*x,,,,
co,WMO-X2014A,CSIRO-94|CSIRO-1994|CSIRO94,(x+3.17)/0.9898,,,,